2023-05-15 00:05:643 INFO  HomePage :103 - Close Button On Message [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //div[@id='bar-notification']/div[1]/span[1]]
2023-05-15 00:05:714 INFO  HomePage :59 - Shopping cart [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //span[contains(text(),'Shopping cart')]]
2023-05-15 00:05:893 INFO  HomePage :65 - Search store [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //button[contains(text(),'Go to cart')]]
2023-05-15 00:05:305 INFO  HomePage :36 - shopping cart text[[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //h1[contains(text(),'Shopping cart')]]
2023-05-15 00:05:437 INFO  HomePage :46 - Update cart [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> id: updatecart]
2023-05-15 00:05:936 INFO  HomePage :51 - Total price  [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //span[@class='value-summary'][1]/strong]
2023-05-15 00:05:957 INFO  HomePage :56 - Terms and condition [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> id: termsofservice]
2023-05-15 00:05:395 INFO  HomePage :27 - Top menu
2023-05-15 00:05:729 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:882 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:41 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:317 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:423 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //select[@id='product_attribute_2']]
